keys,fr,de,da,id,nb,sv,nl,vi,ms,ko
Common_Quit,Quitter,Beenden,Afslut,Keluar,Avslutt,Avsluta,Afsluiten,Thoát,Keluar,종료
Common_Restart,Redémarrer,Neu starten,Genstart,Mulai ulang,Start på nytt,Starta om,Herstart,Khởi động lại,Mula semula,다시 시작
Common_Play,Jouer,Spielen,Spil,Main,Begynn,Spela,Spelen,Chơi,Main,플레이
Common_Desktop,Compagnon de bureau,Desktop-Begleiter,Skrivebordskæledyr,Peliharaan Desktop,Skrivebordskjæledyr,Skrivbordskompis,Bureaubladmaatje,Thú cưng màn hình nền,Haiwan Peliharaan Desktop,데스크톱 펫
Common_Cancel,Annuler,Abbrechen,Annuller,Batal,Avbryt,Avbryt,Annuleren,Hủy,Batal,취소
Common_Confirm,Confirmer,Bestätigen,Bekræft,Konfirmasi,Bekreft,Bekräfta,Bevestigen,Xác nhận,Sahkan,확인
Settings_Tab_Wardrobe,Garde-robe,Garderobe,Garderobe,Lemari pakaian,Garderobe,Garderob,Garderobe,Tủ đồ,Almari pakaian,꾸미기
Settings_Tab_LinkTree,Liens,Links,Links,Tautan,Lenker,Länkar,Links,Liên kết,Pautan,링크
Settings_Tab_Settings,Paramètres,Einstellungen,Indstillinger,Pengaturan,Innstillinger,Inställningar,Instellingen,Cài đặt,Tetapan,설정
Settings_Tab_Debug,Débogage,Debug,Fejlfinding,Debugging,Feilsøking,Felsökning,Foutopsporing,Gỡ lỗi,Penyahpepijatan,디버그
Settings_General,Général,Allgemein,Generelt,Umum,Generelt,Allmänt,Algemeen,Chung,Umum,일반
Settings_SoundEffects,Effets sonores,Soundeffekte,Lydeffekter,Efek suara,Lydeffekter,Ljudeffekter,Geluidseffecten,Hiệu ứng âm thanh,Kesan bunyi,효과음
Settings_Music,Musique,Musik,Musik,Musik,Musikk,Musik,Muziek,Nhạc,Muzik,음악
Settings_PlayBgmInDesktop,Jouer la musique en mode compagnon de bureau,BGM im Desktop-Modus abspielen,Afspil BGM i skrivebordstilstand,Putar BGM dalam Mode Desktop,Spill BGM i skrivebordsmodus,Spela BGM i skrivbordsläge,BGM afspelen in bureaubladmodus,Phát BGM ở chế độ thú cưng màn hình nền,Mainkan BGM dalam Mod Desktop,BGM 재생
Settings_Language,Langue,Sprache,Sprog,Bahasa,Språk,Språk,Taal,Ngôn ngữ,Bahasa,언어
Settings_Language_System,Système,System,System,Sistem,System,System,Systeem,Hệ thống,Sistem,시스템
Settings_Language_English,Anglais,Englisch,Engelsk,Inggris,Engelsk,Engelska,Engels,Tiếng Anh,Bahasa Inggeris,영어
Settings_Language_SimplifiedChinese,Chinois simplifié,Vereinfachtes Chinesisch,Forenklet kinesisk,China Sederhana,Forenklet kinesisk,Förenklad kinesiska,Vereenvoudigd Chinees,Tiếng Trung giản thể,Bahasa Cina Ringkas,중국어 간체
Settings_Language_TraditionalChinese,Chinois traditionnel,Traditionelles Chinesisch,Traditionelt kinesisk,China Tradisional,Tradisjonell kinesisk,Traditionell kinesiska,Traditioneel Chinees,Tiếng Trung phồn thể,Bahasa Cina Tradisional,중국어 번체
