Id,SkinId,AssetPathList,IconPath
1001,1001,v1\Shiba\Red\,v0\ItemIcon\Dog_1001.png
1002,1002,v1\Shiba\Black\,v0\ItemIcon\Dog_1002.png
1003,1003,v1\Shiba\Cream\,v0\ItemIcon\Dog_1003.png
1004,1004,v1\Shiba\Sesame\,v0\ItemIcon\Dog_1004.png
1005,1005,v1\Shiba\Red\,v0\ItemIcon\Dog_1005.png
1006,1006,v1\Shiba\Red\,v0\ItemIcon\Dog_1006.png
1007,1007,v1\Shiba\Black\,v0\ItemIcon\Dog_1007.png
1008,1008,v1\Shiba\Black\,v0\ItemIcon\Dog_1008.png
1009,1009,v1\Shiba\Cream\,v0\ItemIcon\Dog_1009.png
1010,1010,v1\Shiba\Cream\,v0\ItemIcon\Dog_1010.png
1011,1011,v1\Shiba\Sesame\,v0\ItemIcon\Dog_1011.png
1012,1012,v1\Shiba\Sesame\,v0\ItemIcon\Dog_1012.png
51001,1003,v1\Shiba\Cream\,v0\ItemIcon\Dog_1003.png
91012,1012,v1\Shiba\Sesame\,v0\ItemIcon\Dog_1012.png
