Id,Alias,IconName,DefaultEars,DefaultEyes,DefaultTongue,FixedEyewear,FolderPath,Head,Claw_Left_Back,Claw_Right_Palms,Tongue_Regular,Ears_Happy,Ears_Plane,Eyes_Bored,Eyes_Cute,Eyes_Happy,Eyes_Lucky,Eyes_Neutral,Eyes_Wink
1001,赤柴原色,Shiba_Red.png,Ears_Happy.png,Eyes_Cute.png,Tongue_Regular,,v1\Shiba\Red,Head_Chubby.png,Claw_Lucky_Left.png,Claw_Lucky_Right.png,Tongue_Regular.png,Ears_Happy.png,Ears_Plane.png,Eyes_Bored.png,Eyes_Cute.png,Eyes_Happy.png,Eyes_Lucky.png,Eyes_Neutral.png,Eyes_Wink.png
1002,黑柴,Shiba_Black.png,Ears_Happy.png,Eyes_Cute.png,Tongue_Regular,,v1\Shiba\Black,Head_Chubby.png,Claw_Lucky_Left.png,Claw_Lucky_Right.png,Tongue_Regular.png,Ears_Happy.png,Ears_Plane.png,Eyes_Bored.png,Eyes_Cute.png,Eyes_Happy.png,Eyes_Lucky.png,Eyes_Neutral.png,Eyes_Wink.png
1003,白柴,Shiba_Cream.png,Ears_Happy.png,Eyes_Cute.png,Tongue_Regular,,v1\Shiba\Cream,Head_Chubby.png,Claw_Lucky_Left.png,Claw_Lucky_Right.png,Tongue_Regular.png,Ears_Happy.png,Ears_Plane.png,Eyes_Bored.png,Eyes_Cute.png,Eyes_Happy.png,Eyes_Lucky.png,Eyes_Neutral.png,Eyes_Wink.png
1004,胡麻柴,Shiba_Sesame.png,Ears_Happy.png,Eyes_Cute.png,Tongue_Regular,,v1\Shiba\Sesame,Head_Chubby.png,Claw_Lucky_Left.png,Claw_Lucky_Right.png,Tongue_Regular.png,Ears_Happy.png,Ears_Plane.png,Eyes_Bored.png,Eyes_Cute.png,Eyes_Happy.png,Eyes_Lucky.png,Eyes_Neutral.png,Eyes_Wink.png
1005,瘦赤柴,Shiba_ThinRed.png,Ears_Happy.png,Eyes_Lucky.png,Tongue_Regular,Sunglasses_Blade.png,v1\Shiba\Red,Head_Thin.png,Claw_Lucky_Left.png,Claw_Lucky_Right.png,Tongue_Regular.png,Ears_Happy.png,Ears_Plane.png,Eyes_Bored.png,Eyes_Cute.png,Eyes_Happy.png,Eyes_Lucky.png,Eyes_Neutral.png,Eyes_Wink.png
1006,胡渣赤柴,Shiba_UnshavenRed.png,Ears_Happy.png,Eyes_Cute.png,Tongue_Regular,Monocle_black.png,v1\Shiba\Red,Head_Unshaven.png,Claw_Lucky_Left.png,Claw_Lucky_Right.png,Tongue_Regular.png,Ears_Happy.png,Ears_Plane.png,Eyes_Bored.png,Eyes_Cute.png,Eyes_Happy.png,Eyes_Lucky.png,Eyes_Neutral.png,Eyes_Wink.png
1007,瘦黑柴,Shiba_ThinBlack.png,Ears_Happy.png,Eyes_Wink.png,Tongue_Regular,EyePatch.png,v1\Shiba\Black,Head_Thin.png,Claw_Lucky_Left.png,Claw_Lucky_Right.png,Tongue_Regular.png,Ears_Happy.png,Ears_Plane.png,Eyes_Bored.png,Eyes_Cute.png,Eyes_Happy.png,Eyes_Lucky.png,Eyes_Neutral.png,Eyes_Wink.png
1008,胡渣黑柴,Shiba_UnshavenBlack.png,Ears_Happy.png,Eyes_Cute.png,Tongue_Regular,Monocle_golden.png,v1\Shiba\Black,Head_Unshaven.png,Claw_Lucky_Left.png,Claw_Lucky_Right.png,Tongue_Regular.png,Ears_Happy.png,Ears_Plane.png,Eyes_Bored.png,Eyes_Cute.png,Eyes_Happy.png,Eyes_Lucky.png,Eyes_Neutral.png,Eyes_Wink.png
1009,瘦白柴,Shiba_ThinCream.png,Ears_Happy.png,Eyes_Wink.png,Tongue_Regular,Sunglasses_Blade.png,v1\Shiba\Cream,Head_Thin.png,Claw_Lucky_Left.png,Claw_Lucky_Right.png,Tongue_Regular.png,Ears_Happy.png,Ears_Plane.png,Eyes_Bored.png,Eyes_Cute.png,Eyes_Happy.png,Eyes_Lucky.png,Eyes_Neutral.png,Eyes_Wink.png
1010,胡渣白柴,Shiba_UnshavenCream.png,Ears_Happy.png,Eyes_Cute.png,Tongue_Regular,3DGlasses.png,v1\Shiba\Cream,Head_Unshaven.png,Claw_Lucky_Left.png,Claw_Lucky_Right.png,Tongue_Regular.png,Ears_Happy.png,Ears_Plane.png,Eyes_Bored.png,Eyes_Cute.png,Eyes_Happy.png,Eyes_Lucky.png,Eyes_Neutral.png,Eyes_Wink.png
1011,瘦芝麻柴,Shiba_ThinSesame.png,Ears_Happy.png,Eyes_Cute.png,Tongue_Regular,3DGlasses.png,v1\Shiba\Sesame,Head_Thin.png,Claw_Lucky_Left.png,Claw_Lucky_Right.png,Tongue_Regular.png,Ears_Happy.png,Ears_Plane.png,Eyes_Bored.png,Eyes_Cute.png,Eyes_Happy.png,Eyes_Lucky.png,Eyes_Neutral.png,Eyes_Wink.png
1012,胡渣胡麻柴,Shiba_UnshavenSesame.png,Ears_Happy.png,Eyes_Cute.png,Tongue_Regular,EyePatch.png,v1\Shiba\Sesame,Head_Unshaven.png,Claw_Lucky_Left.png,Claw_Lucky_Right.png,Tongue_Regular.png,Ears_Happy.png,Ears_Plane.png,Eyes_Bored.png,Eyes_Cute.png,Eyes_Happy.png,Eyes_Lucky.png,Eyes_Neutral.png,Eyes_Wink.png
1013,新狗狗 1013,Shiba_Red.png,Ears_Happy.png,Eyes_Cute.png,Tongue_Regular,EyePatch.png,v1\Shiba\Red,Head_Chubby.png,Claw_Lucky_Left.png,Claw_Lucky_Right.png,Tongue_Regular.png,Ears_Happy.png,Ears_Plane.png,Eyes_Bored.png,Eyes_Cute.png,Eyes_Happy.png,Eyes_Lucky.png,Eyes_Neutral.png,Eyes_Wink.png
